n,d,k,lambda,count,failures,failure_rate,failure_lower,failure_upper,mean_greedy,mean_optimum,ratio_of_means,ratio_of_means_lower,ratio_of_means_upper,mean_ratio,mean_ratio_lower,mean_ratio_upper,mean_relative_gap,mean_relative_gap_lower,mean_relative_gap_upper,mean_absolute_loss,mean_absolute_loss_lower,mean_absolute_loss_upper
12,3,12,3.0,200,0,0.0,0.0,0.018275340355136237,11.58,11.58,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4,1,0.3333333333333333,200,0,0.0,0.0,0.018275340355136237,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4,2,0.6666666666666666,200,38,0.19,0.13810312537283967,0.25133151862374414,7.81,8.0,0.97625,0.969375,0.983125,0.97625,0.969375,0.983125,0.02375,0.016875,0.030625,0.19,0.135,0.245
12,4,3,1.0,200,113,0.565,0.49326120781247285,0.6347829308303482,10.265,10.92,0.940018315018315,0.9320247718353449,0.9480698529411765,0.9409545454545455,0.9330528409090907,0.9489092803030302,0.059045454545454554,0.051090719696969704,0.06694715909090909,0.655,0.565,0.745
12,4,5,1.6666666666666667,200,3,0.015,0.003104107621553509,0.0432082819177126,11.905,11.92,0.9987416107382551,0.9970649895178197,1.0,0.99875,0.9970833333333333,1.0,0.00125,0.0,0.0029166666666666664,0.015,0.0,0.035
12,4,6,2.0,200,0,0.0,0.0,0.018275340355136237,11.92,11.92,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4,12,4.0,200,0,0.0,0.0,0.018275340355136237,11.92,11.92,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2,1,0.125,200,0,0.0,0.0,0.018275340355136237,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2,2,0.25,200,0,0.0,0.0,0.018275340355136237,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2,4,0.5,200,1,0.005,0.00012658102786701825,0.02754189845720562,7.995,8.0,0.999375,0.998125,1.0,0.999375,0.998125,1.0,0.000625,0.0,0.001875,0.005,0.0,0.015
