case_id,split,family,chain_limit,weight,budget,prefix_sum,final_cost,optimum_prefix_sum,total_recourse,max_request_recourse,cpu_seconds,wall_seconds
uniform_05,eval,uniform,5,1/2,4,63,18,63,0,0,0.0,0.004338599996117409
uniform_06,eval,uniform,1,0,1,63,18,63,0,0,0.0,0.00018170000112149864
uniform_06,eval,uniform,1,0,2,63,18,63,0,0,0.0,0.00021600000036414713
uniform_06,eval,uniform,1,0,4,63,18,63,0,0,0.0,0.00017359999765176326
uniform_06,eval,uniform,1,1/2,1,63,18,63,0,0,0.0,0.00016939999477472156
uniform_06,eval,uniform,1,1/2,2,63,18,63,0,0,0.0,0.00016489999688928947
uniform_06,eval,uniform,1,1/2,4,63,18,63,0,0,0.0,0.00022159999934956431
uniform_06,eval,uniform,5,0,1,63,18,63,0,0,0.0,0.004049099996336736
uniform_06,eval,uniform,5,0,2,63,18,63,0,0,0.015625,0.004884200003289152
uniform_06,eval,uniform,5,0,4,63,18,63,0,0,0.0,0.003896599999279715
uniform_06,eval,uniform,5,1/2,1,63,18,63,0,0,0.0,0.0038549000018974766
uniform_06,eval,uniform,5,1/2,2,63,18,63,0,0,0.015625,0.003788099995290395
uniform_06,eval,uniform,5,1/2,4,63,18,63,0,0,0.0,0.0037701000037486665
clustered_01,eval,clustered,1,0,1,21,6,21,0,0,0.0,0.00016180000238819048
clustered_01,eval,clustered,1,0,2,21,6,21,0,0,0.0,0.00014660000306321308
clustered_01,eval,clustered,1,0,4,21,6,21,0,0,0.0,0.0001472000003559515
clustered_01,eval,clustered,1,1/2,1,21,6,21,0,0,0.0,0.0001720000000204891
clustered_01,eval,clustered,1,1/2,2,21,6,21,0,0,0.0,0.00014840000221738592
clustered_01,eval,clustered,1,1/2,4,21,6,21,0,0,0.0,0.00015249999705702066
clustered_01,eval,clustered,5,0,1,21,6,21,0,0,0.0,0.004342400003224611
clustered_01,eval,clustered,5,0,2,21,6,21,0,0,0.0,0.0035939000008511357
clustered_01,eval,clustered,5,0,4,21,6,21,0,0,0.015625,0.0038764000055380166
