config_hash,case_id,instance_id,run_id,case,repetition,seed,family,universe_size,set_count,k,parameters,algorithm_id,algorithm_seed,algorithm,algorithm_options,algorithm_metadata,status,coverage,best_bound,optimum,optimality_gap,runtime_seconds,is_exact,timed_out,nodes_or_iterations,selected,error_message,schema_version
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,0b13825350786855767a1829c8b2fbc8fde64a4288af3622a9edd71b8b48a7bb,1d11b34acc4f04ee9f649a79ebbca0b03021e6f930344b52b1e7d1f4d55f8418,overlap,16,16941105954642047149,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,31,,33,0.0606060606,0.0000171000,False,False,58,3 10 11 13,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,0b13825350786855767a1829c8b2fbc8fde64a4288af3622a9edd71b8b48a7bb,49b7a4cdd277251a9546dc1d0e62575d61a99a131fa42cf82a6356c8064c8025,overlap,16,16941105954642047149,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,33,33,33,0.0000000000,0.0006607000,True,False,1820,6 8 10 11,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,f45b89977b84c81bec6b227e805632f462b2aa8bebfe9367fbe245bbe2b14453,b7f0fc404b2c8658c3535eb1017595256a5c627809514e233fed4f444a4a282d,overlap,17,16941105954642047150,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,33,,33,0.0000000000,0.0000163000,False,False,58,1 3 4 10,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,f45b89977b84c81bec6b227e805632f462b2aa8bebfe9367fbe245bbe2b14453,9beba8aaaae4d1350cf7484e2e84b1e81d652be9fac287e3a8d133f8f1df3b08,overlap,17,16941105954642047150,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,33,33,33,0.0000000000,0.0006738000,True,False,1820,0 1 4 10,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,89068cf24251b4c2c2ccbb49b2a9027bbed779bdcef2872a90d0b58d40f440d0,b0c13eda441cecb53e55769c9e474cc555622c3b12da8f29da684f122db9a5b8,overlap,18,16941105954642047151,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,35,,36,0.0277777778,0.0000165000,False,False,58,1 2 6 11,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,89068cf24251b4c2c2ccbb49b2a9027bbed779bdcef2872a90d0b58d40f440d0,f6106767862232f7af87cccf28c32c90ac0a11b49727d315b471b19096f1b751,overlap,18,16941105954642047151,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,36,36,36,0.0000000000,0.0006448000,True,False,1820,1 6 10 11,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,51887cf94427b4aa2fe8814f5f9f646b687dc68d9db21989cf5b3d03d5c8b906,8af77c73f953b0a501392a9ffa6ac7c079b0de408ed3c4062aa939459eb813d8,overlap,19,16941105954642047152,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,32,,32,0.0000000000,0.0000164000,False,False,58,1 3 6 7,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,51887cf94427b4aa2fe8814f5f9f646b687dc68d9db21989cf5b3d03d5c8b906,c7034cc8c27043a6e9ef34f95d640ecf5ec84c8838bd024614aafca25ffefb5d,overlap,19,16941105954642047152,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,32,32,32,0.0000000000,0.0006693000,True,False,1820,1 3 6 7,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,2e7acfe052238af3077c2345101ca01d2436ac5f6aab714ec122385d866f87a3,4c3b00cbe2502d0a8ba72b1e85a19569fe5e91aad8da8be102563ab37d85e328,overlap,20,16941105954642047153,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,30,,30,0.0000000000,0.0000172000,False,False,58,1 2 8 10,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,2e7acfe052238af3077c2345101ca01d2436ac5f6aab714ec122385d866f87a3,034b3104a4c982235a404eb11df980d5a8295b4c94e82d292ed4e8f5d307775c,overlap,20,16941105954642047153,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,30,30,30,0.0000000000,0.0006751000,True,False,1820,0 1 2 8,,4
