config_hash,repetition,treatment_case_id,treatment_instance_id,treatment_effective_seed,treatment_greedy_coverage,treatment_exact_optimum,treatment_failure,treatment_gap,treatment_pairwise_overlap_mean_jaccard,treatment_actual_density,treatment_mean_set_size,treatment_covered_element_count,treatment_coverage_skew_gini,control_case_id,control_instance_id,control_effective_seed,control_greedy_coverage,control_exact_optimum,control_failure,control_gap,control_pairwise_overlap_mean_jaccard,control_actual_density,control_mean_set_size,control_covered_element_count,control_coverage_skew_gini
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,20,overlap,2e7acfe052238af3077c2345101ca01d2436ac5f6aab714ec122385d866f87a3,16941105954642047153,30,30,0,0.0,0.6279407410222627,0.4088541666666667,19.625,33,0.5229705922211682,overlap_control,7f641e6fb16260633a1f0307736dd12d96db8956e151bd10ab37790f3626d9f3,16941105954642047153,47,47,0,0.0,0.27049982423416746,0.42578125,20.4375,48,0.1679354544863036
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,21,overlap,5598172e6414ecb003525c6979d338a9f75ee028c0bb884aebcfb2ed21ec5ca1,16941105954642047154,31,32,1,0.03125,0.6334438824058389,0.4283854166666667,20.5625,35,0.5037185539675354,overlap_control,d8e405ff6ec97b26811e11327cfd6fbf3d6c173e1eb89894d3624b1d6a4655a1,16941105954642047154,46,47,1,0.02127659574468085,0.26866913990126345,0.41796875,20.0625,48,0.1791608669715649
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,22,overlap,242ff00f643109291ee98b9c5608e2e27bf9e644043b8f91eb120a7d06783512,16941105954642047155,34,35,1,0.02857142857142857,0.6136593274060791,0.4479166666666667,21.5,43,0.4699406234537358,overlap_control,23fc168f4bd5406de935683ceb3fd3f210f8f597899c864a1723e37f1d7ed765,16941105954642047155,47,48,1,0.020833333333333332,0.2992780414379128,0.4544270833333333,21.8125,48,0.17015180149972567
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,23,overlap,c619c52d7dfe38b347f8d1061e34d3b538efa89a9c21cb64b833b3f916825dc6,16941105954642047156,33,35,1,0.05714285714285714,0.5583680124986347,0.4010416666666667,19.25,35,0.5046974302293451,overlap_control,6535c24452fd224fe455f971ed192e1715136842f59ec429774a1faf483c4cbd,16941105954642047156,48,48,0,0.0,0.26737548097357944,0.41015625,19.6875,48,0.1890577507598784
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,24,overlap,6d4fd619ff64b9c416ea081b00cb06c4c0232633e7ffb7a1362b3f70975f620e,16941105954642047157,36,36,0,0.0,0.5811764607667664,0.4166666666666667,20.0,38,0.5,overlap_control,e0abe923771966c283e8f3d7de2ccd2460ae981a6e68519995ac2bdb1257eee5,16941105954642047157,48,48,0,0.0,0.26095761286595504,0.4153645833333333,19.9375,48,0.16961248582671914
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,25,overlap,c304bb37fda9f5bd26d6d6ce076a1eb2856ff42894fd5d32029caf556b3b0560,16941105954642047158,34,36,1,0.05555555555555555,0.5563512328023157,0.4205729166666667,20.1875,41,0.4772412884526711,overlap_control,ddbd8b6b78a67ac867f7f28fde498c68cf165044326f65e88c0e6ab6021f3e55,16941105954642047158,48,48,0,0.0,0.24167392337112717,0.3932291666666667,18.875,48,0.16443567704663942
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,26,overlap,e8dec0c9ac610d3fc8c3a98383f8bba47b90e752783ffff1dc1e3c38177a007a,16941105954642047159,33,34,1,0.029411764705882353,0.6720920513514841,0.4479166666666667,21.5,38,0.4987629886194953,overlap_control,d24d0fa94d38b49a32d81d64f9f520cfc199d5da256f65da539c4946c8a420d3,16941105954642047159,48,48,0,0.0,0.2870872214075059,0.44140625,21.1875,48,0.16538002887089687
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,27,overlap,38a472d3d5cfee79f115e0e0f68d872da8547783737d01b38e462ddf0c13ff5c,16941105954642047160,34,34,0,0.0,0.622051642376355,0.4440104166666667,21.3125,38,0.4761340238347788,overlap_control,01ce288add3431d096694c500e9cf08d438788e22bab1eee0638317fbd1bb115,16941105954642047160,47,48,1,0.020833333333333332,0.2603485016921786,0.4140625,19.875,48,0.16753646460591462
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,28,overlap,c11aec739757a8a5fea07774dacb86e363a14c132d6dc6f1240b95f4ee7516c1,16941105954642047161,33,33,0,0.0,0.6048289185872894,0.421875,20.25,37,0.501050696086157,overlap_control,6baae96ed6dcc9e9d6899c3753466542c059a8fa12133c6fc496401e7c1f3787,16941105954642047161,48,48,0,0.0,0.28071323873421133,0.4479166666666667,21.5,48,0.1313706086095992
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,29,overlap,df67c746a4d18cc703ad6a2f4cb1b02775d58ef4915fb0af157647b42167c29b,16941105954642047162,32,32,0,0.0,0.6301516290338754,0.4361979166666667,20.9375,36,0.4935535090504922,overlap_control,d7c44aeacb9eb2106506f7e4c1ce3bc39a67044353df112097cd13eb4640afc7,16941105954642047162,48,48,0,0.0,0.2528899538307095,0.421875,20.25,48,0.1163645915418965
