base_graph_id,instance_id,n,d,k,greedy,optimum,initial_upper,prefix_upper,dual_upper,endpoint,tightening_initial,tightening_prefix,initial_ratio,prefix_ratio,dual_ratio,ratio_gain_initial,ratio_gain_prefix,dual_over_optimum,initial_certified,prefix_certified,dual_certified
r2-preflight-n16-d2-r0001,be3071f4fa1977fd995524ca8562842fbc00271f6298569f5fc9e0dcf1c3621a,16,2,2,4,4,4,4,4,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d2-r0001,9a54c4daec0461aa6ca7bcae9b28804b43ef9194db65e386d87aa88d5a80af38,16,2,4,8,8,8,8,8,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d2-r0001,a0a4e65be7d177e981137d5a4dae27d77ddcd6271c273ef41ec2eb15e5e12947,16,2,6,11,12,12,12,12,interior,0,0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,1.0,0,0,0
r2-preflight-n16-d2-r0001,46a7ddccb5a6f88464666e39781d8fce88809927638ac8d6568c3183a165d2c3,16,2,8,13,14,15,15,15,interior,0,0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.0,0.0,1.0714285714285714,0,0,0
r2-preflight-n16-d2-r0001,b8de2ce83d933f1db3673643e02df80be0e6672f15fd8872647f06ed8edf3ad5,16,2,12,15,15,15,15,15,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d2-r0001,2e66a632fa83ac660c3f27a301a501fa848ca6cdc3dc9eb0ef8d82a46a2ada5b,16,2,16,15,15,15,15,15,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d3-r0000,def1fb40ddcb7881794071bc83fec34b554d4d9b7cb88b33758fe0f948e9e3e2,16,3,1,3,3,3,3,3,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d3-r0000,44542b3b703c1261e79dc8e2c8c5f9d67883e7768f7bebf3e0846c01c332df5f,16,3,2,6,6,6,6,6,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d3-r0000,4c30391949b5fa39a308cda498ab844a2bf2ec92b18f71d54305251eee2b9bbb,16,3,3,9,9,9,9,9,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d3-r0000,767b950e1c2cdaf44eac6eb46d0bdadc0d4d26bcefcf11465c72e4a526965cec,16,3,4,11,12,12,12,12,interior,0,0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,1.0,0,0,0
